year,resource_type,region,province_name,competition_scope,used,available,unit,utilization
2060,biomass,B07147,内蒙古自治区,shared_biomass_node,189254.2095006951,189254.2095006951,GJ/yr,1.0
2060,biomass,B07148,内蒙古自治区,shared_biomass_node,157717.54930827895,157717.54930827895,GJ/yr,1.0
2060,biomass,B07149,内蒙古自治区,shared_biomass_node,189264.45391004096,189264.45391004096,GJ/yr,1.0
2060,biomass,B07150,内蒙古自治区,shared_biomass_node,238940.542432946,238940.542432946,GJ/yr,1.0
2060,biomass,B07151,内蒙古自治区,shared_biomass_node,143945.74645819832,143945.74645819832,GJ/yr,1.0
2060,biomass,B07152,内蒙古自治区,shared_biomass_node,120352.18727090124,120352.18727090124,GJ/yr,1.0
2060,biomass,B07153,内蒙古自治区,shared_biomass_node,127953.54751757212,127953.54751757212,GJ/yr,1.0
2060,biomass,B07154,内蒙古自治区,shared_biomass_node,152293.03307358726,152293.03307358726,GJ/yr,1.0
2060,biomass,B07155,内蒙古自治区,shared_biomass_node,120970.3447914364,120970.3447914364,GJ/yr,1.0
2060,biomass,B07156,内蒙古自治区,shared_biomass_node,0.0,53405.671328131255,GJ/yr,0.0
2060,biomass,B07157,内蒙古自治区,shared_biomass_node,0.0,63886.1984240443,GJ/yr,0.0
2060,biomass,B07158,内蒙古自治区,shared_biomass_node,0.0,104713.50819434322,GJ/yr,0.0
2060,biomass,B07159,内蒙古自治区,shared_biomass_node,0.0,130292.83146916192,GJ/yr,0.0
2060,biomass,B07160,内蒙古自治区,shared_biomass_node,0.0,115576.0089877265,GJ/yr,0.0
2060,biomass,B07161,内蒙古自治区,shared_biomass_node,0.0,79780.31309466976,GJ/yr,0.0
2060,biomass,B07162,内蒙古自治区,shared_biomass_node,0.0,58463.86321578897,GJ/yr,0.0
2060,biomass,B07163,内蒙古自治区,shared_biomass_node,0.0,96599.56018095285,GJ/yr,0.0
2060,biomass,B07164,内蒙古自治区,shared_biomass_node,0.0,8186.514160318961,GJ/yr,0.0
2060,biomass,B07165,内蒙古自治区,shared_biomass_node,15731.114428604791,15731.114428604791,GJ/yr,1.0
2060,biomass,B07166,内蒙古自治区,shared_biomass_node,1955257.27333803,1955257.27333803,GJ/yr,1.0
2060,biomass,B07167,内蒙古自治区,shared_biomass_node,934899.428775476,934899.428775476,GJ/yr,1.0
2060,biomass,B07168,内蒙古自治区,shared_biomass_node,645595.3600401436,645595.3600401436,GJ/yr,1.0
2060,biomass,B07169,内蒙古自治区,shared_biomass_node,1908398.1442829615,1908398.1442829615,GJ/yr,1.0
2060,biomass,B07170,内蒙古自治区,shared_biomass_node,2202624.619160868,2202624.619160868,GJ/yr,1.0
2060,biomass,B07171,内蒙古自治区,shared_biomass_node,2190224.391874596,2190224.391874596,GJ/yr,1.0
2060,biomass,B07172,内蒙古自治区,shared_biomass_node,1493565.610060935,1493565.610060935,GJ/yr,1.0
2060,biomass,B07173,内蒙古自治区,shared_biomass_node,1102887.582167026,1102887.582167026,GJ/yr,1.0
2060,biomass,B07174,内蒙古自治区,shared_biomass_node,889716.2570057766,889716.2570057766,GJ/yr,1.0
2060,biomass,B07175,内蒙古自治区,shared_biomass_node,870939.6738015384,870939.6738015384,GJ/yr,1.0
2060,biomass,B07176,内蒙古自治区,shared_biomass_node,461658.86270907824,461658.86270907824,GJ/yr,1.0
2060,biomass,B07177,内蒙古自治区,shared_biomass_node,1939715.93509092,1939715.93509092,GJ/yr,1.0
2060,biomass,B07178,内蒙古自治区,shared_biomass_node,2211088.176306476,2211088.176306476,GJ/yr,1.0
2060,biomass,B07179,内蒙古自治区,shared_biomass_node,406955.9487695575,406955.9487695575,GJ/yr,1.0
2060,biomass,B07180,内蒙古自治区,shared_biomass_node,1791196.023910328,1791196.023910328,GJ/yr,1.0
2060,biomass,B07181,内蒙古自治区,shared_biomass_node,985507.7020173792,985507.7020173792,GJ/yr,1.0
2060,biomass,B07182,内蒙古自治区,shared_biomass_node,535634.9601253628,535634.9601253628,GJ/yr,1.0
2060,biomass,B07183,内蒙古自治区,shared_biomass_node,1047323.359885361,1047323.3598853612,GJ/yr,0.9999999999999999
2060,biomass,B07184,内蒙古自治区,shared_biomass_node,0.0,990735.194210926,GJ/yr,0.0
