year,plant_id,province_name,capacity_mw,baseline_net_cost_cny,carbon_cost_cny,coal_savings_cny,incremental_om_cny,energy_penalty_cny,ccs_om_cny,stranded_capex_cny,ccs_retrofit_capex_cny,total_plant_cost_cny
2030,P0112,Guangdong,8520.0,1470168474.5003998,4050742665.5999994,-0.0,0.0,0.0,0.0,0.0,0.0,5520911140.100399
2030,P0113,Inner Mongolia,4000.0,-3352426864.44,1980398399.9999998,-0.0,0.0,0.0,0.0,0.0,0.0,-1372028464.4400003
2030,P0114,Guangxi,6160.0,2670499519.0473604,2901368870.4,-0.0,0.0,0.0,0.0,0.0,0.0,5571868389.447361
2030,P0115,Shandong,2190.0,341088996.8979,939799605.6,-0.0,0.0,0.0,0.0,0.0,0.0,1280888602.4979
2030,P0116,Liaoning,820.0,3629524.3850000226,250189281.59999996,-0.0,0.0,0.0,0.0,0.0,0.0,253818805.98499998
2030,P0117,Henan,2320.0,341190896.5676803,821745484.8000001,-0.0,0.0,0.0,0.0,0.0,0.0,1162936381.3676803
2030,P0118,Liaoning,5440.0,24078795.920000147,1659792307.1999996,-0.0,0.0,0.0,0.0,0.0,0.0,1683871103.1199996
2030,P0119,Guizhou,5740.0,-638416944.9442395,2681238033.6,-0.0,0.0,0.0,0.0,0.0,0.0,2042821088.6557603
2030,P0120,Inner Mongolia,4700.0,-3939101565.7169995,2326968119.9999995,-0.0,0.0,0.0,0.0,0.0,0.0,-1612133445.717
2030,P0121,Guangdong,6760.0,1166471700.4252,3213969532.7999997,-0.0,0.0,0.0,0.0,0.0,0.0,4380441233.2252
2030,P0122,Shaanxi,7390.0,-1820545646.011999,3299924688.0,-0.0,0.0,0.0,0.0,0.0,0.0,1479379041.988001
2030,P0123,Hebei,6728.0,0.0,0.0,-0.0,13488260760.000002,0.0,0.0,23548000000.0,0.0,37036260760.0
2030,P0124,Henan,11670.0,1692095999.6958416,4075349786.8381195,-0.0,266029033.36225623,0.0,0.0,546077055.4317776,0.0,6579551875.327995
2030,P0125,Xinjiang,11910.0,0.0,0.0,-0.0,28304591399.999996,0.0,0.0,41685000000.0,0.0,69989591400.0
2030,P0126,Jiangsu,17212.0,2491044010.2802844,8494555742.4000025,-0.0,0.0,0.0,0.0,0.0,0.0,10985599752.680286
2030,P0127,Hebei,1750.0,-118030795.93822736,207393710.96171308,-0.0,2559944401.089727,0.0,0.0,4469187824.098745,0.0,7118495140.211958
2030,P0128,Xinjiang,970.0,-313307568.11676806,175166935.35546023,-0.0,1504175498.0695417,0.0,0.0,2215243270.9920287,0.0,3581278136.3002625
2030,P0129,Inner Mongolia,13430.0,-11255773197.357302,6649187628.0,-0.0,0.0,0.0,0.0,0.0,0.0,-4606585569.357302
2030,P0130,Hebei,1300.0,0.0,0.0,-0.0,2606233500.0,0.0,0.0,2957500000.0,0.0,5563733500.0
2030,P0131,Zhejiang,12300.0,1205986150.940401,6699484296.0,-0.0,0.0,0.0,0.0,0.0,0.0,7905470446.940401
2030,P0132,Jilin,1720.0,94314991.24592017,612914707.1999999,-0.0,0.0,0.0,0.0,0.0,0.0,707229698.4459201
2030,P0133,Anhui,6100.0,1452571473.295201,3050479704.0000005,-0.0,0.0,0.0,0.0,0.0,0.0,4503051177.295201
2030,P0134,Shanxi,3205.0,-1161579959.1097,1460014674.0,-0.0,0.0,0.0,0.0,0.0,0.0,298434714.89030004
2030,P0135,Liaoning,1900.0,8409873.575000053,579706872.0,-0.0,0.0,0.0,0.0,0.0,0.0,588116745.575
2030,P0136,Inner Mongolia,880.0,-737533910.1768,435687648.0,-0.0,0.0,0.0,0.0,0.0,0.0,-301846262.1768
2030,P0137,Xinjiang,1400.0,0.0,0.0,-0.0,3327155999.9999995,0.0,0.0,4900000000.0,0.0,8227156000.0
