unit_id,plant_site,capacity_mw,commission_year,combustion,cooling_technology,province,latitude,longitude,source,year_basis
G100000107793,粤电粤黔盘南电厂,600.0,2007,subcritical,recirculating,Guizhou,25.4686039,104.5924059,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113537,攀钢自备电厂,330.0,2016,subcritical,recirculating,Sichuan,26.600634,101.504877,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107982,国家电投平顶山鲁阳发电厂,1030.0,2010,ultra-supercritical,recirculating,Henan,33.82189,113.01438,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107983,国家电投平顶山鲁阳发电厂,1030.0,2010,ultra-supercritical,recirculating,Henan,33.82189,113.01438,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107990,国家电投平顶山平东热电,210.0,2006,subcritical,recirculating,Henan,33.739329,113.341335,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107991,国家电投平顶山平东热电,210.0,2006,subcritical,recirculating,Henan,33.739329,113.341335,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113481,中国平煤瑞平煤电德平热电厂,135.0,2007,subcritical,recirculating,Henan,34.11676,112.818372,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113482,中国平煤瑞平煤电德平热电厂,135.0,2007,subcritical,recirculating,Henan,34.11676,112.818372,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107996,中铝广西分公司自备电厂（平果铝自备电厂）,30.0,1998,subcritical,recirculating,Guangxi,23.339659,107.510738,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113143,中铝广西分公司自备电厂（平果铝自备电厂）,30.0,2008,subcritical,recirculating,Guangxi,23.339659,107.510738,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113144,中铝广西分公司自备电厂（平果铝自备电厂）,30.0,2008,subcritical,recirculating,Guangxi,23.339659,107.510738,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000104104,华电平江发电厂,1000.0,2022,ultra-supercritical,once-through,Hunan,28.808542,113.54144,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000104105,华电平江发电厂,1000.0,2023,ultra-supercritical,once-through,Hunan,28.808542,113.54144,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000104476,华能平凉电厂,330.0,2000,subcritical,recirculating,Gansu,35.5017,106.7861,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000104477,华能平凉电厂,330.0,2001,subcritical,recirculating,Gansu,35.5017,106.7861,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000104478,华能平凉电厂,330.0,2003,subcritical,recirculating,Gansu,35.5017,106.7861,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000104479,华能平凉电厂,330.0,2003,subcritical,recirculating,Gansu,35.5017,106.7861,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000104474,华能平凉电厂,600.0,2010,supercritical,recirculating,Gansu,35.5017,106.7861,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000104475,华能平凉电厂,600.0,2010,supercritical,recirculating,Gansu,35.5017,106.7861,GEM_with_Cooling_Technology_July2025.xlsx,2025
