biomass_node_id,province_id,province_name,longitude,latitude,available_gj,biomass_supply_gj,biomass_supply_tonnes_equiv,unit,mass_conversion_gj_per_tonne,base_cost_cny_per_gj,low_cost_cny_per_gj,high_cost_cny_per_gj,match_rule,competition_scope,buffer_km,aggregation_cell_deg,land_competition_included,source,year_basis
B00075,1,安徽省,116.37589787251551,33.374472470709264,11013852.61418805,11013852.61418805,734256.84094587,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00076,1,安徽省,116.37485161093434,33.62366610057954,11462733.004874736,11462733.004874736,764182.2003249824,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00077,1,安徽省,116.43322646522658,33.79337696159878,2323560.273389695,2323560.273389695,154904.01822597967,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00078,1,安徽省,116.38646040826396,34.399400517407805,7356578.351981733,7356578.351981733,490438.5567987822,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00079,1,安徽省,116.38996660028361,34.563698330612,4267045.618196198,4267045.618196198,284469.7078797465,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00080,1,安徽省,116.71112785206697,29.667548167767137,1543900.6977787097,1543900.6977787097,102926.71318524731,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00081,1,安徽省,116.54963012066511,29.934380120494495,579608.0776762157,579608.0776762157,38640.53851174771,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00082,1,安徽省,116.62325349886449,30.144833949955423,5802482.7875959445,5802482.7875959445,386832.1858397296,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00083,1,安徽省,116.62119934800873,30.385726266210707,6476454.733177251,6476454.733177251,431763.6488784834,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00084,1,安徽省,116.62276696227207,30.62688123821816,6845655.823757132,6845655.823757132,456377.0549171421,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00085,1,安徽省,116.62529810457524,30.87329531253363,6652634.5220850315,6652634.5220850315,443508.9681390021,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00086,1,安徽省,116.64653769169682,31.13277403945804,3817419.1667749216,3817419.1667749216,254494.61111832812,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00087,1,安徽省,116.62315823779589,31.37871026596592,5644434.675055829,5644434.675055829,376295.64500372193,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00088,1,安徽省,116.62463684148636,31.62887566601622,6058366.605701643,6058366.605701643,403891.1070467762,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00089,1,安徽省,116.62087408598155,31.86605790637507,7721746.368389791,7721746.368389791,514783.0912259861,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00090,1,安徽省,116.61954074672671,32.127905890290336,6597683.457633378,6597683.457633378,439845.5638422252,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00091,1,安徽省,116.62103408579948,32.38380906498855,6493577.04938673,6493577.04938673,432905.136625782,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00092,1,安徽省,116.62828316776468,32.620019794537924,8123350.41076092,8123350.41076092,541556.694050728,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
